method,local_estimate
local_neighbor,0.4642891835113378
local_neighbor,0.5013751514305997
local_neighbor,0.5555617948687409
local_neighbor,0.7030555772769482
local_neighbor,0.7153460422145026
local_neighbor,0.6484969540755093
local_neighbor,0.33472485958697484
local_neighbor,0.40012498105839234
local_neighbor,0.9163681061754868
local_neighbor,0.7853414516303655
local_neighbor,0.653543621913673
local_neighbor,0.6847823842487644
local_neighbor,0.5038533802508303
local_neighbor,0.5753152213382215
local_neighbor,0.3778795098135387
local_neighbor,0.3252044463412071
local_neighbor,0.5572336089071899
local_neighbor,0.659150626454268
local_neighbor,0.7309494307137762
local_neighbor,0.2557049045787345
local_neighbor,0.48597080230696693
local_neighbor,0.3931606107207511
local_neighbor,0.4668419262548838
local_neighbor,0.6819171246702214
local_neighbor,0.7671138238792288
local_neighbor,0.9157147133846768
local_neighbor,0.7491685843518809
local_neighbor,0.39417964761439206
local_neighbor,0.5065809308223435
local_neighbor,0.28065887350057406
local_neighbor,0.35437717097412796
local_neighbor,0.6745573173462078
local_neighbor,0.6155979384832694
local_neighbor,0.602099251916106
local_neighbor,0.3862586625085393
local_neighbor,0.3856333221214242
local_neighbor,0.41300341995054357
local_neighbor,0.2645722169963458
local_neighbor,0.7658096526346316
local_neighbor,0.6666975964516123
local_neighbor,0.4800230245508776
local_neighbor,0.7502999757088518
local_neighbor,0.6151467754325515
local_neighbor,0.3882514177546431
local_neighbor,0.45500566181096963
local_neighbor,0.15447897898309498
local_neighbor,0.4036910317841057
local_neighbor,0.5059545550007029
local_neighbor,0.5258306278834043
local_neighbor,0.4555320615825142
local_neighbor,0.6907161634649677
local_neighbor,0.4946917911914882
local_neighbor,0.6563479211401836
local_neighbor,0.4324995904550778
local_neighbor,0.7772142966556508
local_neighbor,0.1584514314697093
local_neighbor,0.49474423939904477
local_neighbor,0.3547704629581587
local_neighbor,0.3102717851705138
local_neighbor,0.7162341012622054
local_neighbor,0.3713138295454165
local_neighbor,0.2155828262504572
local_neighbor,0.21036278475108067
local_neighbor,0.38305820520028383
local_neighbor,1.3192104890649898
local_neighbor,0.4928057656657668
local_neighbor,0.39292559652498804
local_neighbor,0.6092321020198048
local_neighbor,0.30966702142502545
local_neighbor,0.7776806070565219
local_neighbor,0.6864952012538245
local_neighbor,0.5063815208156777
local_neighbor,0.9154104650362577
local_neighbor,0.5592996849410954
local_neighbor,0.5484036433917799
local_neighbor,0.5697646659161733
local_neighbor,0.6161035900441648
local_neighbor,0.6235079876221059
local_neighbor,0.4223251517899128
local_neighbor,0.4209420313192157
local_neighbor,0.939438835341966
local_neighbor,0.6595674083336244
local_neighbor,0.48694991808325394
local_neighbor,0.5532771275798487
local_neighbor,0.8258131924633046
local_neighbor,0.4433770770247481
local_neighbor,0.5300926631443849
local_neighbor,0.3628827912337574
local_neighbor,0.6244824632321342
local_neighbor,0.46483582338261814
