method,local_estimate
local_neighbor,-0.08960124505166034
local_neighbor,-0.21137918861482982
local_neighbor,-0.2419922399929908
local_neighbor,0.11095961515933853
local_neighbor,0.059024408351406835
local_neighbor,0.09196965120786567
local_neighbor,-0.007118636372376646
local_neighbor,0.1224009889999079
local_neighbor,-0.041746809437015454
local_neighbor,0.1618818272185379
local_neighbor,0.23795172019385086
local_neighbor,-0.18336510391212663
local_neighbor,0.024804118667383794
local_neighbor,0.2629900409419018
local_neighbor,0.2114548882773874
local_neighbor,0.2823162720990263
local_neighbor,0.19214233698254085
local_neighbor,-0.012617752447224972
local_neighbor,0.15403776732756363
local_neighbor,0.2741686947787397
local_neighbor,-0.0005699116638723911
local_neighbor,0.12179144173495052
local_neighbor,0.2405877900560105
local_neighbor,0.22931736728783986
local_neighbor,0.42609238951786244
local_neighbor,0.24072333356949965
local_neighbor,0.3272128679660835
local_neighbor,0.14496127034104034
local_neighbor,0.08288755562353764
local_neighbor,-0.18927933136731515
local_neighbor,0.05927597995671611
local_neighbor,0.1963197365178335
local_neighbor,0.5401071759587144
local_neighbor,0.2721287364523505
local_neighbor,0.21257194131515522
local_neighbor,0.7041178760270557
local_neighbor,0.39333731409086675
local_neighbor,0.3435550446682786
local_neighbor,0.3370255218243603
local_neighbor,0.39634689716956817
local_neighbor,1.0593268377735316
local_neighbor,0.9308575939511556
local_neighbor,0.7069717973432821
local_neighbor,0.7816227644406732
local_neighbor,0.5946824679884068
local_neighbor,0.6473339538219627
local_neighbor,0.4397516329384554
local_neighbor,0.5703874236103837
local_neighbor,0.6474472732981982
local_neighbor,0.760858403778947
local_neighbor,0.583243374652274
local_neighbor,0.11089827613922054
local_neighbor,0.10218756434029674
local_neighbor,0.570313474171698
local_neighbor,0.06868297566122425
local_neighbor,0.432414237950006
local_neighbor,0.6412408734521078
local_neighbor,0.2653002916367927
local_neighbor,0.39407986928029753
local_neighbor,0.42375498915494847
local_neighbor,0.23875691283445702
local_neighbor,0.5698164120692226
local_neighbor,0.2555562026535142
local_neighbor,0.4379964591485718
local_neighbor,0.2003817561173165
local_neighbor,0.5952251026502375
local_neighbor,0.25482645947185184
local_neighbor,-0.08123222328695309
local_neighbor,-0.07792359484454323
local_neighbor,0.03031574666471426
local_neighbor,0.44107543574047015
local_neighbor,-0.029193514272343003
local_neighbor,0.4529409158383936
local_neighbor,0.47849385543951567
local_neighbor,0.656925811996849
local_neighbor,-0.17014742188090232
local_neighbor,0.022174256871790865
local_neighbor,0.2903298110876926
local_neighbor,0.35232079614238854
local_neighbor,0.025819317845111912
local_neighbor,0.2952517541608197
local_neighbor,0.492695345140821
local_neighbor,0.6556992309763737
local_neighbor,0.27461842951387405
local_neighbor,0.6461549573325737
local_neighbor,0.5302000494324022
local_neighbor,0.43794067925833186
local_neighbor,0.1772560752871088
local_neighbor,0.37403384286474023
local_neighbor,0.5626229695006987
local_neighbor,0.350599539510665
local_neighbor,0.4626548837938381
local_neighbor,0.2587771643869449
local_neighbor,0.45763235125775736
local_neighbor,0.04471820500095025
local_neighbor,0.5520388613306936
local_neighbor,0.39780682898496666
local_neighbor,0.09677624246762306
local_neighbor,0.5523008591610987
local_neighbor,0.6930789309748195
local_neighbor,0.3930875434549971
local_neighbor,0.2720869929621685
local_neighbor,0.2903007897210294
local_neighbor,0.1541428952599968
local_neighbor,0.5573475135317139
local_neighbor,0.8076738602602394
local_neighbor,0.7835592757615853
local_neighbor,0.4668677941228182
local_neighbor,0.554758220369708
local_neighbor,0.569201001825147
local_neighbor,0.6195972671959759
local_neighbor,0.35355471605827077
local_neighbor,1.0278425392878754
local_neighbor,0.9091016658987506
local_neighbor,0.3787115228990846
local_neighbor,0.9383401266878654
local_neighbor,0.8130043971487417
local_neighbor,0.79916143737714
local_neighbor,0.8770415762430377
local_neighbor,0.8506620249641379
local_neighbor,1.1237514769762262
local_neighbor,0.9733074438543247
local_neighbor,0.8494316549113428
local_neighbor,0.9181917509911599
local_neighbor,0.9067678860851525
local_neighbor,0.8032296177930691
local_neighbor,0.9198726520669268
local_neighbor,0.8251014975092594
local_neighbor,0.7454635806159345
local_neighbor,0.6922258850856842
local_neighbor,0.7325505638307872
local_neighbor,0.6817966176625351
local_neighbor,0.6408338473171675
local_neighbor,0.7045516398336649
local_neighbor,0.665850116389881
local_neighbor,0.6761304357811314
local_neighbor,0.2895145530384123
local_neighbor,0.21931022677925888
local_neighbor,0.19710099378571866
local_neighbor,0.1397128176858124
local_neighbor,0.6361412524354194
local_neighbor,-0.12889487599137478
local_neighbor,0.20942346446250176
local_neighbor,0.1856974866656178
local_neighbor,0.5438208535167546
local_neighbor,0.33003633841346514
local_neighbor,0.6663841072293312
local_neighbor,0.6418968178974288
local_neighbor,0.1708876199147511
local_neighbor,0.5510880215654168
local_neighbor,0.39718626865568346
local_neighbor,0.5252863326490292
local_neighbor,0.6240041880712128
local_neighbor,0.4184490362327916
local_neighbor,0.4360518060124166
local_neighbor,0.2880350002058674
local_neighbor,0.25609663703080104
local_neighbor,0.358169658345506
local_neighbor,0.25478853530838613
local_neighbor,0.40811532569494346
local_neighbor,0.5483124560682552
local_neighbor,0.34437425154240925
local_neighbor,0.41403302508943307
local_neighbor,0.5231520819456154
local_neighbor,0.12794843823430005
local_neighbor,0.2301498467771271
local_neighbor,0.40299539265090933
local_neighbor,0.19079132274751465
local_neighbor,0.6869877375751822
local_neighbor,0.5850289657442307
local_neighbor,0.4459033771245364
local_neighbor,0.41559131668980986
local_neighbor,0.5116707730965431
local_neighbor,0.21915118147492704
local_neighbor,0.29691143588295993
local_neighbor,0.27152331927321016
local_neighbor,0.7270350883166703
local_neighbor,0.32165485954525197
local_neighbor,0.3643862836436697
local_neighbor,0.29529057958869986
local_neighbor,0.3667909974523093
local_neighbor,0.44581755975730253
local_neighbor,0.4927681714222601
local_neighbor,0.11440302647912895
local_neighbor,0.3670790018366223
local_neighbor,0.20200675064616896
local_neighbor,0.269389956223631
local_neighbor,0.789150249040933
local_neighbor,0.3984242452374115
local_neighbor,0.06643614947023187
local_neighbor,-0.030100211879455708
local_neighbor,0.5694245800868893
local_neighbor,0.6421437790495471
local_neighbor,0.711269480755637
local_neighbor,0.5902806833528992
local_neighbor,0.2336024722711536
local_neighbor,0.31031018073810585
local_neighbor,0.22555857965016832
local_neighbor,0.4932673776507165
local_neighbor,0.20745707866116864
local_neighbor,0.2767092060584328
local_neighbor,0.3741849179321585
local_neighbor,0.31015429223824015
local_neighbor,0.43477780858332543
local_neighbor,0.12717128473152142
local_neighbor,0.27435603877351183
local_neighbor,0.09354209781655094
local_neighbor,0.45146739590060336
local_neighbor,0.37565861082052043
local_neighbor,0.6713973051487266
local_neighbor,0.5729929774103598
local_neighbor,0.3562982058055543
local_neighbor,0.42630667352004326
local_neighbor,0.32389049250469604
local_neighbor,0.48523481295573595
local_neighbor,0.38183651135088226
local_neighbor,0.6656584993054243
local_neighbor,0.3516599092374242
local_neighbor,0.9770193614781622
local_neighbor,0.5717240910272261
local_neighbor,0.49121065615465775
local_neighbor,0.07573734003281803
local_neighbor,0.042925319336368825
local_neighbor,0.7134470783130252
local_neighbor,0.6362290103258094
local_neighbor,0.5329571494071025
local_neighbor,0.5381895464397284
local_neighbor,0.6227295378167618
local_neighbor,0.674825230205532
local_neighbor,0.6888328343661773
local_neighbor,0.6413083253026938
local_neighbor,0.6512365980117719
local_neighbor,0.878837204999315
local_neighbor,0.6089450692786812
local_neighbor,0.355806018584489
local_neighbor,0.6998395063091128
local_neighbor,0.7204384188734426
local_neighbor,0.6826392108273321
local_neighbor,0.2796349666519725
local_neighbor,0.35088951697495047
local_neighbor,1.1064944604657065
local_neighbor,0.6065134028075516
local_neighbor,0.47517027073917956
local_neighbor,0.9135498602865176
local_neighbor,0.41789107428490657
local_neighbor,0.6420358730347685
local_neighbor,0.6446228459735694
local_neighbor,0.8241945756497666
local_neighbor,0.8923802553939654
local_neighbor,0.7188955281177828
local_neighbor,0.4534435081336515
local_neighbor,0.8471778688836598
local_neighbor,0.47208236267554293
local_neighbor,0.6383573369458146
local_neighbor,0.4415113632291215
local_neighbor,0.5053379101525304
local_neighbor,0.32602484906549883
local_neighbor,0.5686888370644431
local_neighbor,0.40881268265361603
local_neighbor,0.3433004620779913
local_neighbor,0.40149000911808946
local_neighbor,0.3603075910863541
local_neighbor,0.7663537228915861
local_neighbor,0.2545133718092359
local_neighbor,0.30363382771396985
local_neighbor,0.7513016122498701
local_neighbor,0.3108605093634956
local_neighbor,0.3390581913857854
local_neighbor,0.5789138705560805
local_neighbor,0.694575738643571
local_neighbor,0.4738756412993864
local_neighbor,0.28526956456548147
local_neighbor,0.5702056792323668
local_neighbor,0.5997741788452358
local_neighbor,0.27961333903425134
local_neighbor,0.4471155362406842
local_neighbor,0.3580707356490563
local_neighbor,0.6475791212127096
local_neighbor,0.6166517533131121
local_neighbor,0.6148539332725649
local_neighbor,0.6270957144501192
local_neighbor,0.6378122180110581
local_neighbor,0.7864464489677504
local_neighbor,0.7171033308812815
local_neighbor,0.6058519815267576
local_neighbor,0.7958597333322209
local_neighbor,0.6827756700894589
local_neighbor,0.774176227166328
local_neighbor,0.712503140679789
local_neighbor,0.8152878371897225
local_neighbor,0.8538243016011673
local_neighbor,0.8519741182579071
local_neighbor,0.8002638942038413
local_neighbor,0.778370449238693
local_neighbor,0.6306984144921708
local_neighbor,0.7763350763477874
local_neighbor,0.8166967504397548
local_neighbor,0.5825771838645663
local_neighbor,0.5144403153046183
local_neighbor,0.47829276339312427
local_neighbor,0.6555355099281588
local_neighbor,0.48871340345794395
local_neighbor,0.662104114633446
local_neighbor,0.5908919925614946
local_neighbor,0.6124097156824445
local_neighbor,0.6349521657062128
local_neighbor,0.35773681818357883
local_neighbor,0.18302870099856033
local_neighbor,0.616298771320999
local_neighbor,0.4449309966164579
local_neighbor,0.44776544829447734
local_neighbor,0.06770421073020036
local_neighbor,0.6855641311207697
local_neighbor,0.8616148458279784
